Timestamp (microseconds)      Peak Amplitude
1699174865182920                2936
1699174865189650                2520
1699174865198840                2186
1699174865208490                3519
1699174865222650                3061
1699174865227250                2561
1699174865241510                3311
1699174865249150                2561
1699174865258380                2103
1699174865275020               26434
1699174865275610               24767
1699174865290610                5228
1699174865302070                9102
1699174865306090                4603
1699174865321980                2145
1699174865334070                2811
1699174865342060                2853
1699174865354850                2228
1699174865358310                2895
1699174865370280                2811
1699174865382810                3103
1699174865385690                3436
1699174865403470                2395
1699174865411950                3145
1699174865418660                2520
1699174865427510                2436
1699174865438760                2311
1699174865448680                3061
1699174865463570                2686
1699174865465970                2186
1699174865475080                2436
1699174865487990                2436
1699174865496990                2311
1699174865503780                2520
1699174865519850                2978
1699174865526800                2478
1699174865533500                2228
1699174865552350                3061
1699174865554790                2811
1699174865572320                2395
1699174865573440                2770
1699174865584070                3353
1699174865601200                2353
1699174865604000                2811
1699174865622090                2728
1699174865627570                3145
1699174865641150                2311
1699174865647360                2895
1699174865653500                2228
1699174865668670                3020
1699174865680660                2478
1699174865691140                2020
1699174865693620                3394
1699174865708020                2853
1699174865717410                2603
1699174865731760                2686
1699174865733820                3020
1699174865748800                2936
1699174865760230                2645
1699174865765870                2311
1699174865780880                2395
1699174865790510                2561
1699174865794130                2520
1699174865808850                2478
1699174865812140                2811
1699174865830430                3436
1699174865832530                2395
1699174865841340                2061
1699174865851920                2561
1699174865867260                2936
1699174865875400                2145
1699174865882930                2770
1699174865892690                2145
1699174865905030                2728
1699174865918010                2228
1699174865924880                3853
1699174865939200                3228
1699174865943540                3145
1699174865958550                3228
1699174865960590                3644
1699174865973170                2436
1699174865984080                2811
1699174865997370                2520
1699174866009370                2853
1699174866011180                2436
1699174866027490                2895
1699174866031950                2811
1699174866047860                2061
1699174866056270                2895
1699174866063260                3353
1699174866076730                3519
1699174866086110                2770
1699174866094560                3936
1699174866105580                3311
1699174866108860                3478
1699174866128010                3394
1699174866132390                3020
1699174866142840                3603
1699174866156520                4186
1699174866162760                3061
1699174866172910                3519
1699174866185830                2770
1699174866195100                3436
1699174866199880                3270
1699174866210010                2311
1699174866223660                3061
1699174866237670                3145
1699174866240880                4436
1699174866248260                3603
1699174866261170                4103
1699174866275210                2353
1699174866280980                3936
1699174866289950                3936
1699174866299230                3728
1699174866307790                3436
1699174866324800                4311
1699174866331900                4103
1699174866345010                2853
1699174866347310                3061
1699174866360830                3311
1699174866366780                3228
1699174866384310                3394
1699174866389130                2936
1699174866401710                3145
1699174866407590                3478
1699174866417790                3103
1699174866433570                2936
1699174866436460                2603
1699174866453310                2770
1699174866459270                3894
1699174866468090                3436
1699174866480600                3020
1699174866489890                3353
1699174866503480                2311
1699174866511980                3519
1699174866518620                3061
1699174866534720                3394
1699174866539050                3311
1699174866548620                2728
1699174866556290                2811
1699174866573420                3811
1699174866580060                2978
1699174866592000                3103
1699174866601460                4228
1699174866606100                2561
1699174866616320                3978
1699174866634170                2978
1699174866637180                2645
1699174866650600                2770
1699174866659580                3061
1699174866672670                3145
1699174866675560                2978
1699174866693880                3978
1699174866694110                3186
1699174866712630                2853
1699174866713950                2770
1699174866729870                2978
1699174866735760                3478
1699174866747560                2478
1699174866759480                2811
1699174866773110                3061
1699174866774030                2853
1699174866789950                2895
1699174866799440                2395
1699174866804670                2936
1699174866815480                3020
1699174866827840                3311
1699174866836020                3145
1699174866850370                3270
1699174866855530                3478
1699174866864830                3061
1699174866882070                2603
1699174866888960                3103
1699174866894710                2978
1699174866909110                3270
1699174866915380                3228
1699174866931810                2520
1699174866934640                2895
1699174866949610                3519
1699174866961810                2853
1699174866970450                3145
1699174866979940                3686
1699174866982030                2936
1699174866996970                2728
1699174867002080                3311
1699174867014760                3270
1699174867027560                2603
1699174867037740                2686
1699174867043270                2478
1699174867059800                3145
1699174867062800                3394
1699174867073120                2728
1699174867087760                2561
1699174867093870                3020
1699174867107270                2770
1699174867113510                2686
1699174867124320                2270
1699174867134080                2645
1699174867146600                2145
1699174867153980                3145
1699174867168820                3020
1699174867170360                3270
1699174867183350                3103
1699174867193400                4228
1699174867205550                2103
1699174867216180                3394
1699174867227090                2978
1699174867231930                3020
1699174867249400                2561
1699174867251200                2353
1699174867266640                2478
1699174867270950                3103
1699174867288920                2770
1699174867297130                2603
1699174867302450                2770
1699174867312070                2811
1699174867324700                2728
1699174867337810                2186
1699174867340000                2811
1699174867358220                3061
1699174867361210                2978
1699174867369480                2353
1699174867382540                2186
1699174867396440                2936
1699174867403690                2520
1699174867416850                3519
1699174867426420                2936
1699174867429290                2936
1699174867442020                2645
1699174867450200                2603
1699174867458410                2270
1699174867477520                3894
1699174867483180                2645
1699174867489340                3644
1699174867505610                3145
1699174867515430                2895
1699174867524550                3145
1699174867536910                2353
1699174867537870                2936
1699174867548370                2811
1699174867561160                2936
1699174867576210                2686
1699174867580580                3020
1699174867596190                2978
1699174867598100                3270
1699174867614460                2520
1699174867620750                2603
1699174867628400                2770
1699174867645600                2770
1699174867653980               32767
1699174867657850                5519
1699174867674650                7561
1699174867681030                8394
1699174867692670                2436
1699174867699060                3353
1699174867714990                2686
1699174867723120                2311
1699174867725960                3103
1699174867736820                3186
1699174867748880                2061
1699174867757740                2353
1699174867771430                2603
1699174867780820                2353
1699174867792210                2811
1699174867802170                3145
1699174867806630                2103
1699174867823830                2936
1699174867826530                2686
1699174867839730                3061
1699174867846550                3270
1699174867858090                2353
1699174867871750                2686
1699174867879090                3186
1699174867893380                3103
1699174867904000                2395
1699174867913330                2270
1699174867919460                2895
1699174867932130                2770
1699174867934380                2895
1699174867952330                2270
1699174867960980                2936
1699174867972890                2436
1699174867979600                2645
1699174867992580                2478
1699174867996130                2436
1699174868012270                2686
1699174868020850                2728
1699174868028900                2353
1699174868037780                2270
1699174868043620                2436
1699174868059550                2728
1699174868072190                2478
1699174868074740                2978
1699174868090770                2811
1699174868101110                2978
1699174868103770                3394
1699174868121000                2395
1699174868129510                3020
1699174868136760                2561
1699174868144540                2395
1699174868157250                2311
1699174868164470                2353
1699174868182070                2228
1699174868182190                2686
1699174868201190                1936
1699174868204520                3228
1699174868212740                3436
1699174868223870                1853
1699174868233620                2353
1699174868242730                2936
1699174868252150                2770
1699174868270660                3769
1699174868272670                2061
1699174868286270                2811
1699174868297850                2686
1699174868303240                3394
1699174868319840                2936
1699174868323020                3020
1699174868334950                2811
1699174868344840                2645
1699174868358780                2728
1699174868364280                2478
1699174868375140                2103
1699174868383880                2395
1699174868393680                2811
1699174868403190                2603
